,name,kana_name,party,detail_url,picture_url,age,sex,blog_url,election_name,election_distric,election_day,election_info,other_info,web_site_info
0,青木 護,アオキ マモル,,https://go2senkyo.com//seijika/130729,,94,男,,札幌市議会議員選挙,南区選挙区,(1991/03/31),"札幌市議会議員選挙 (1991/03/31) [当選] 7,357 票
                              ",,[]
1,朝川 利雄,アサカワ トシオ,,https://go2senkyo.com//seijika/129594,,96,男,,札幌市議会議員選挙,中央区選挙区,(1987/04/05),"札幌市議会議員選挙 (1987/04/05) [当選] 5,810 票
                              ",,[]
2,阿部 英明,アベ ヒデアキ,,https://go2senkyo.com//seijika/126806,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126806/87919e03b2cd6c7655da3d565bfd0c0a.jpg,56,男,,札幌市議会議員選挙,白石区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) 8,557 票
                              ",,"['http://abehideaki6522.sakura.ne.jp/', 'https://www.facebook.com/hideaki.abe.58', 'https://twitter.com/abehideaki65']"
3,飯島 弘之,イイジマ ヒロユキ,,https://go2senkyo.com//seijika/126843,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126843/68b4cdbf2ed71695fcb1f2802c545530.jpg,54,男,,札幌市議会議員選挙,西区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] - 票
              ",,"['http://www.iijima-hiroyuki.jp/index.htm', 'https://www.facebook.com/hiroyuki.iijima.144', 'https://twitter.com/iijima_hiroyuki']"
4,五十嵐 徳美,イガラシ トクミ,,https://go2senkyo.com//seijika/126795,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126795/29bd2018d22ed95e170ab420c623c9c5.jpg,63,男,,札幌市議会議員選挙,東区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 13,836 票
                              ",,"['http://www.igarashi-tokumi.com/', 'https://www.facebook.com/profile.php?id=100009420429540', 'https://twitter.com/tokumiigarashi']"
5,五十嵐 一治,イガラシ イチジ,,https://go2senkyo.com//seijika/129618,,116,男,,札幌市議会議員選挙,東区選挙区,(1975/04/06),"札幌市議会議員選挙 (1975/04/06) [当選] 7,506 票
                              ",,[]
6,磯野 開丈,イソノ カイジョウ,,https://go2senkyo.com//seijika/130725,,97,男,,札幌市議会議員選挙,豊平区選挙区,(1987/04/05),"札幌市議会議員選挙 (1987/04/05) [当選] 8,825 票
                              ",,[]
7,一ノ宮 弥増治,イチノミヤ ヤソジ,,https://go2senkyo.com//seijika/129630,,110,男,,札幌市議会議員選挙,白石区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) [当選] 6,758 票
                              ",,[]
8,伊藤 隆人,イトウ タカヒト,,https://go2senkyo.com//seijika/129586,,85,男,,札幌市議会議員選挙,中央区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) [当選] 8,424 票
                              ",,[]
9,伊藤 博勝,イトウ ヒロカツ,,https://go2senkyo.com//seijika/130742,,96,男,,札幌市議会議員選挙,白石区選挙区,(1983/04/03),"札幌市議会議員選挙 (1983/04/03) 7,462 票
                              ",,[]
10,稲津 定俊,イナツ サダトシ,,https://go2senkyo.com//seijika/128476,,66,男,,札幌市議会議員選挙,白石区選挙区,(2007/03/30),"札幌市議会議員選挙 (2007/03/30) 4,061 票
                              ",,[]
11,岩本 允,イワモト マコト,,https://go2senkyo.com//seijika/131499,,86,男,,北海道議会議員選挙,豊平区選挙区,(2007/03/30),"北海道議会議員選挙 (2007/03/30) [当選] 26,526 票
                              ",,[]
12,梅田 与太郎,ウメダ ヨタロウ,,https://go2senkyo.com//seijika/129666,,115,男,,札幌市議会議員選挙,西区選挙区,(1975/04/06),"札幌市議会議員選挙 (1975/04/06) [当選] 8,285 票
                              ",,[]
13,大井 吉朗,オオイ キチロウ,,https://go2senkyo.com//seijika/130765,,79,男,,札幌市議会議員選挙,中央区選挙区,(1991/03/31),"札幌市議会議員選挙 (1991/03/31) 3,835 票
                              ",,[]
14,大石橋 順三,オオイシバシ ジュンゾウ,,https://go2senkyo.com//seijika/130764,,77,男,,札幌市議会議員選挙,中央区選挙区,(1991/03/31),"札幌市議会議員選挙 (1991/03/31) 4,888 票
                              ",,[]
15,大内 基樹,オオウチ モトキ,,https://go2senkyo.com//seijika/126800,,64,男,,札幌市議会議員選挙,東区選挙区,(2011/04/01),"札幌市議会議員選挙 (2011/04/01) 7,705 票
                              ",,[]
16,大越 誠幸,オオコシ セイコウ,,https://go2senkyo.com//seijika/128473,,83,男,,札幌市議会議員選挙,東区選挙区,(2007/03/30),"札幌市議会議員選挙 (2007/03/30) [当選] 11,418 票
                              ",,[]
17,おさない 直也,オサナイ ナオヤ,,https://go2senkyo.com//seijika/126770,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126770/bcf515614e43ddc997eb3c86b510dff8.jpg,57,男,,札幌市議会議員選挙,中央区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 13,924 票
                              ",,"['http://naoya.jp', ' https://www.facebook.com/osanai.naoya/', 'https://twitter.com/osanai_naoya']"
18,小谷 俵蔵,オタニ ヒョウゾウ,,https://go2senkyo.com//seijika/128467,,86,男,,札幌市議会議員選挙,北区選挙区,(2007/03/30),"札幌市議会議員選挙 (2007/03/30) 7,654 票
                              ",,[]
19,越智 健一,オチ ケンイチ,,https://go2senkyo.com//seijika/129629,,95,男,,札幌市議会議員選挙,白石区選挙区,(1995/04/02),"札幌市議会議員選挙 (1995/04/02) [当選] 11,741 票
                              ",,[]
20,乙黒 定七,オツクロ サダシチ,,https://go2senkyo.com//seijika/129663,,110,男,,札幌市議会議員選挙,西区選挙区,(1983/04/03),"札幌市議会議員選挙 (1983/04/03) [当選] 11,036 票
                              ",,[]
21,柏原 保夫,カシハラ ヤスオ,,https://go2senkyo.com//seijika/130727,,92,男,,札幌市議会議員選挙,豊平区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) 3,372 票
                              ",,[]
22,勝木 勇人,カツキ ハヤト,,https://go2senkyo.com//seijika/126845,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126845/ae7358bee6e1b2bd0797af5c0629ed9a.jpg,62,男,,札幌市議会議員選挙,西区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] - 票
              ",,"['http://www010.upp.so-net.ne.jp/fruit-1/', 'https://www.facebook.com/hayato.katsuki.9']"
23,勝木 省三,カツキ ショウゾウ,,https://go2senkyo.com//seijika/131501,,89,男,,北海道議会議員選挙,西区選挙区,(2007/03/30),"北海道議会議員選挙 (2007/03/30) [当選] 19,742 票
                              ",,[]
24,加藤 隆司,カトウ タカシ,,https://go2senkyo.com//seijika/129605,,93,男,,札幌市議会議員選挙,北区選挙区,(1991/03/31),"札幌市議会議員選挙 (1991/03/31) [当選] 7,899 票
                              ",,[]
25,上瀬戸 正則,カミセト マサノリ,,https://go2senkyo.com//seijika/129561,,83,男,,札幌市議会議員選挙,白石区選挙区,(2003/04/04),"札幌市議会議員選挙 (2003/04/04) [当選] 8,564 票
                              ",,[]
26,川田 匡桐,カワタ タダヒサ,自由民主党,https://go2senkyo.com//seijika/126816,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126816/6a5be37800d7ce3e7e83108d685b7059.jpg,52,男,https://go2senkyo.com//seijika/126816/posts,札幌市議会議員選挙,厚別区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 10,879 票
                              ",自由民主党札幌市厚別区第四支部長、札幌市厚別区南地区青少年育成委員、北朝鮮に拉致された日本人を救出する北海道の会代表、インターネット番組キャスター,
27,北村 光一郎,キタムラ コウイチロウ,,https://go2senkyo.com//seijika/126826,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126826/7a31c56675a983be64b7160adb1dbc46.jpg,67,男,,札幌市議会議員選挙,清田区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 15,333 票
                              ",,"['http://koichiro-kitamura.com/', 'https://www.facebook.com/s.k.youtien']"
28,小嶋 裕美,コジマ ユミ,,https://go2senkyo.com//seijika/126815,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126815/3ec01e23239f393af79dd74e70ca8744.jpg,55,女,,札幌市議会議員選挙,厚別区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 14,540 票
                              ",,"['http://www.kojimayumi.jp/', 'https://www.facebook.com/yumi.kojima.1232', 'https://twitter.com/kojima_yumi']"
29,小須田 悟士,コスダ サトシ,,https://go2senkyo.com//seijika/126841,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126841/ae1191d4ed29a9044eb5dad7a4bbc2a2.jpg,72,男,,札幌市議会議員選挙,南区選挙区,(2015/04/03),"札幌市議会議員選挙 (2015/04/03) [当選] 11,192 票
                              ",,[]
30,小竹 知子,コタケ トモコ,,https://go2senkyo.com//seijika/126819,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126819/259dc9236c0f2a907686f5cb2a215303.jpg,62,女,,札幌市議会議員選挙,豊平区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 18,139 票
                              ",,"['http://kotaketomoko.com/', 'https://twitter.com/run_moco', 'https://www.youtube.com/user/KotakeTomoco924']"
31,近藤 和雄,コンドウ カズオ,,https://go2senkyo.com//seijika/126820,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126820/d1b6f73461ead03a041fdaf05dad32cd.jpg,79,男,,札幌市議会議員選挙,豊平区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 11,614 票
                              ",,"['http://www.kazuonet.org/', 'https://www.facebook.com/profile.php?id=100005526191767', 'https://twitter.com/shigikazuo']"
